species,common_name,family,gear_class,gear_type,fishery_type,target_fishery_species,target_fishery_common,flagstate,ocean,ocean_region,location,habitat,fate_type,fate_proportion,units,sample_size,methods,start_year,end_year,time_scale,reference,notes,reviewer
Scyliorhinus canicula,small spotted catshark,Scyliorhinidae,gillnet,trammel net,,,,,Atlantic,NE,Portugal,deep-sea,discard_unknown,0.033,count,2,researcher,2000,2000,sporadic,Coelho et al 2005,no mention of rfmo,LF
Scyliorhinus canicula,small spotted catshark,Scyliorhinidae,gillnet,trammel net,,,,,Atlantic,NE,Portugal,deep-sea,retained_unknown,0.967,count,59,researcher,2000,2000,sporadic,Coelho et al 2005,no mention of rfmo,LF
Raja clavata,thornback ray,Rajidae,gillnet,trammel net,,,,,Atlantic,NE,Portugal,deep-sea,discard_unknown,0.091,count,5,researcher,2000,2000,sporadic,Coelho et al 2005,no mention of rfmo,LF
Raja clavata,thornback ray,Rajidae,gillnet,trammel net,,,,,Atlantic,NE,Portugal,deep-sea,retained_unknown,0.909,count,50,researcher,2000,2000,sporadic,Coelho et al 2005,no mention of rfmo,LF
Raja asterias,mediterranean starry ray,Rajidae,gillnet,trammel net,,,,,Atlantic,NE,Portugal,deep-sea,discard_unknown,0.019,count,1,researcher,2000,2000,sporadic,Coelho et al 2005,no mention of rfmo,LF
Raja asterias,mediterranean starry ray,Rajidae,gillnet,trammel net,,,,,Atlantic,NE,Portugal,deep-sea,retained_unknown,0.981,count,52,researcher,2000,2000,sporadic,Coelho et al 2005,no mention of rfmo,LF
Raja brachyura,blonde ray,Rajidae,gillnet,trammel net,,,,,Atlantic,NE,Portugal,deep-sea,discard_unknown,0.06,count,3,researcher,2000,2000,sporadic,Coelho et al 2005,no mention of rfmo,LF
Raja brachyura,blonde ray,Rajidae,gillnet,trammel net,,,,,Atlantic,NE,Portugal,deep-sea,retained_unknown,0.94,count,47,researcher,2000,2000,sporadic,Coelho et al 2005,no mention of rfmo,LF
Torpedo marmorata,marbled electric ray,Torpedinidae,gillnet,trammel net,,,,,Atlantic,NE,Portugal,deep-sea,discard_unknown,0.03,count,1,researcher,2000,2000,sporadic,Coelho et al 2005,no mention of rfmo,LF
Torpedo marmorata,marbled electric ray,Torpedinidae,gillnet,trammel net,,,,,Atlantic,NE,Portugal,deep-sea,retained_unknown,0.97,count,32,researcher,2000,2000,sporadic,Coelho et al 2005,no mention of rfmo,LF
Torpedo torpedo,common torpedo,Torpedinidae,gillnet,trammel net,,,,,Atlantic,NE,Portugal,deep-sea,discard_unknown,0.03,count,1,researcher,2000,2000,sporadic,Coelho et al 2005,no mention of rfmo,LF
Torpedo torpedo,common torpedo,Torpedinidae,gillnet,trammel net,,,,,Atlantic,NE,Portugal,deep-sea,retained_unknown,0.97,count,32,researcher,2000,2000,sporadic,Coelho et al 2005,no mention of rfmo,LF
